"Variable","Frequency"
"sc_pub_year",15
"sc_impact_factor_that_year",7
"sa_data_year",4
"sa_began_finished",63
"sa_age_m_iv",6
"sa_age_m_dv",17
"sa_p_male",0
"sa_age_m_f",9
"sa_p_single_parent",0
"sa_country",7
"sa_p_hispanic_f",4
"sa_p_black_f",19
"sa_p_asian_f",24
"sa_p_otherethnic_f",13
"sa_p_low_ses_family",19
"sa_p_bilingual",4
"sa_pop_dens",49
"sa_p_bio",12
"sa_p_intact",0
"sa_p_firstborn",3
"de_longitudinal",82
"de_larger_study",9
"iv_qualitative",71
"iv_assessment",60
"iv_location",57
"iv_informant",55
"iv_reliability",25
"iv_validity",39
"dv_type",58
"dv_assessment",47
"dv_location",94
"dv_informant",79
"dv_timelag",63
"dv_reliability",0
"dv_validity",100
"es_reverse_coded",100
"es_type",28
"es_partial",90
"es_controls",94
"iv_type_cat",33
"dv_instrumentname_cat",45
"sa_larger_study_cat",7
